,hscode,volume,eight_bits
0,10059010000,63,10059010
1,10059010000,40,10059010
2,10059010000,20,10059010
3,10063040001,525,10063040
4,10063040001,130,10063040
5,10063040001,1720,10063040
6,10063040001,6080,10063040
7,10063040001,1425,10063040
8,10063030003,100,10063030
9,10063040001,1325,10063040
10,10063099012,10400,10063099
11,10063099012,10400,10063099
12,10063040001,1000,10063040
13,10063040001,500,10063040
14,10063030003,400,10063030
15,10063040001,24000,10063040
16,10063040001,4500,10063040
17,10063040001,22280,10063040
18,10063040001,22000,10063040
19,10063040001,440,10063040
20,10063040001,900,10063040
21,10063040001,2520,10063040
22,10063099012,1500,10063099
23,10063040001,750,10063040
24,10063040001,100,10063040
25,10063040001,414,10063040
26,10062010001,100,10062010
27,10063099001,880,10063099
28,10063099001,1774,10063099
29,10063099001,440,10063099
30,10063040001,2600,10063040
31,10063040001,2600,10063040
32,10063040001,2600,10063040
33,10063040001,2600,10063040
34,10063040001,2600,10063040
35,10063040001,2600,10063040
36,10063040001,62469,10063040
37,10063040001,925,10063040
38,10063040001,842,10063040
39,10063040001,9590,10063040
40,10062010001,2495,10062010
41,10063040001,9590,10063040
42,10063099001,580,10063099
43,10063099001,880,10063099
44,10063099001,340,10063099
45,10063099001,17052,10063099
46,10062090001,1498,10062090
47,10063040001,2934,10063040
48,10063040001,482,10063040
49,10063040001,2934,10063040
50,10063040001,985,10063040
51,10063040001,4540,10063040
52,10063040001,953,10063040
53,10063040001,2179,10063040
54,10063030003,953,10063030
55,10063030003,1907,10063030
56,10062010001,735,10062010
57,10062090613,735,10062090
58,10064090005,3462,10064090
59,10064090005,1907,10064090
60,10062090619,735,10062090
61,10062090607,735,10062090
62,10063099001,12600,10063099
63,10063099001,11700,10063099
64,10063040001,140,10063040
65,10063040001,80,10063040
66,10063040001,70,10063040
67,10063040001,2,10063040
68,10063040001,6,10063040
69,10063040004,40,10063040
70,10063040004,2,10063040
71,10063040500,2,10063040
72,10062010500,2,10062010
73,10064090005,30,10064090
74,10064090005,2,10064090
75,10064090005,2,10064090
76,10063099010,20,10063099
77,10063099010,2,10063099
78,10063099010,2,10063099
79,10063099012,30,10063099
80,10063099012,2,10063099
81,10063091002,10,10063091
82,10063091002,2,10063091
83,10063091002,1,10063091
84,10063099003,50,10063099
85,10063099003,2,10063099
86,10063099003,2,10063099
87,10063030003,20,10063030
88,10063030003,2,10063030
89,10063030003,2,10063030
90,10062090611,2,10062090
91,10062090617,2,10062090
92,10063040001,44000,10063040
93,10063099012,2080,10063099
94,10063099012,2080,10063099
95,10063040001,79520,10063040
96,10063040001,4090,10063040
97,10063040500,856,10063040
98,10062010500,600,10062010
99,10063040001,1580,10063040
100,10063040001,2350,10063040
101,10063040001,2192,10063040
102,10063040001,3450,10063040
103,10063040001,4900,10063040
104,10063040001,1744,10063040
105,10063040001,925,10063040
106,10063040001,11750,10063040
107,10063099001,5000,10063099
108,10062090613,600,10062090
109,10064090501,3,10064090
110,10063040001,10,10063040
111,10063040001,4278,10063040
112,10063040001,1560,10063040
113,10063040001,7200,10063040
114,10063040001,1840,10063040
115,10063040001,1840,10063040
116,10063040001,920,10063040
117,10063040001,1840,10063040
118,10063040001,3240,10063040
119,10063099001,360,10063099
120,10062090600,1,10062090
121,10063040001,1400,10063040
122,10063040001,800,10063040
123,10063040001,700,10063040
124,10063040001,400,10063040
125,10063040001,600,10063040
126,10063040001,600,10063040
127,10063030003,450,10063030
128,10063030003,300,10063030
129,10063030003,300,10063030
130,10063040001,120,10063040
131,10063040001,500,10063040
132,10063040001,1400,10063040
133,10063040001,17110,10063040
134,10063099001,34359,10063099
135,10063040001,17110,10063040
136,10063099001,17670,10063099
137,10063099001,880,10063099
138,10064090005,500,10064090
139,10063040001,1750,10063040
140,10063040001,1750,10063040
141,10063030003,300,10063030
142,10062090618,60,10062090
143,10063099001,870,10063099
144,10063040001,1750,10063040
145,10063099001,53009,10063099
146,10063099012,960,10063099
147,10063040001,9700,10063040
148,10063040001,5799,10063040
149,10063040001,1000,10063040
150,10063040001,340,10063040
151,10063099001,340,10063099
152,10063030003,320,10063030
153,10063099005,3225,10063099
154,10063040001,20000,10063040
155,10063040001,4000,10063040
156,10063040001,40,10063040
157,10063040001,20,10063040
158,10063030003,1056,10063030
159,10063030003,343,10063030
160,10062090010,10300,10062090
161,10062090001,34219,10062090
162,10063099001,17670,10063099
163,10063099001,14149,10063099
164,10063099012,17208,10063099
165,10063040001,350,10063040
166,10063040001,1500,10063040
167,10063040001,448,10063040
168,10063030003,240,10063030
169,10063030003,150,10063030
170,10064090005,150,10064090
171,10063040001,1100,10063040
172,10063099001,28298,10063099
173,10063040001,20880,10063040
174,10063099010,11,10063099
175,10063099010,2,10063099
176,10063099010,1,10063099
177,10064090005,20,10064090
178,10064090005,4,10064090
179,10063099012,17,10063099
180,10063099012,2,10063099
181,10063040001,47,10063040
182,10063040001,4,10063040
183,10063040001,5,10063040
184,10063040001,10,10063040
185,10063040001,4,10063040
186,10063040001,3,10063040
187,10063091001,27,10063091
188,10063091001,8,10063091
189,10063091001,1,10063091
190,10063091003,12,10063091
191,10063091003,4,10063091
192,10063099013,2,10063099
193,10063099013,2,10063099
194,10063099018,4,10063099
195,10063099018,2,10063099
196,10063030003,1,10063030
197,10063030003,1,10063030
198,10063030003,6,10063030
199,10063030003,4,10063030
200,10063099014,2,10063099
