Year,Month,Type,Country,HS Code,Statistic Code,Unit Code,Description,Quantity,CIF (BAHT),Heading,heading_description,Chapter,chapter_description
2563,1,1,TH,2109990,0,KGM,Other (KGM),24000,1818747,2109,#N/A,21,MISC EDIBLE PREPARATION
2563,1,1,TH,3032500,0,KGM,"Carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.) (KGM)",19214,1178542,3032,#N/A,30,PHARMACEUTICAL PRODUCT
2563,1,1,TH,3038929,90,KGM,Other (KGM),3328,204132,3038,#N/A,30,PHARMACEUTICAL PRODUCT
2563,1,1,TH,3048700,0,KGM,"Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis) (KGM)",64203,20165793,3048,#N/A,30,PHARMACEUTICAL PRODUCT
2563,1,1,TH,3049300,90,KGM,Other fish meat (KGM),50020,2662923,3049,#N/A,30,PHARMACEUTICAL PRODUCT
2563,1,1,TH,3061730,0,KGM,Giant river prawns (Macrobrachium rosenbergii) (KGM),2000,122676,3061,#N/A,30,PHARMACEUTICAL PRODUCT
2563,1,1,TH,3069530,3,KGM,"White shrimp (P. vannamei), cooked by streaming or by boiling in water (KGM)",17997,4657869,3069,#N/A,30,PHARMACEUTICAL PRODUCT
2563,1,1,TH,4015090,0,KGM,Other (KGM),2,1615,4015,#N/A,40,RUBBER AND ARTICLES THEREOF
2563,1,1,TH,5051010,0,KGM,Duck feathers (KGM),12840,779401,5051,#N/A,50,SILK
2563,1,1,TH,5051090,0,KGM,Other (KGM),36211,3246542,5051,#N/A,50,SILK
2563,1,1,TH,8045020,2,KGM,"Mangoes, dried (KGM)",5,1407,8045,#N/A,80,TIN & ARTICLE
2563,1,1,TH,8109060,0,KGM,Tamarinds (KGM),18575,1727329,8109,#N/A,81,"OTHER BASE METAL ,CERMET"
2563,1,1,TH,9012120,0,KGM,"Coffee, roasted not decaffeinated, ground (KGM)",5,7379,9012,#N/A,90,OPTICAL PHOTO CINE APPARATUS
2563,1,1,TH,10051000,0,KGM,Seed of maize (corn) (KGM),151000,12150355,1005,Corn,10,CEREAL
2563,1,1,TH,10062010,1,KGM,Husked rice (cargo rice) of Thai Hom Mali rice 100 % (KGM),13708,572093,1006,Rice,10,CEREAL
2563,1,1,TH,10063040,1,KGM,White non-glutinous rice of Thai Hom Mali rice 100 % (KGM),435959,17183728,1006,Rice,10,CEREAL
2563,1,1,TH,11081400,0,KGM,Manioc (cassava) starch (KGM),51000,668037,1108,#N/A,11,PRODUCT OF MILLING INDUSTRY
2563,1,1,TH,12079990,3,KGM,Seed of Cucumber suitable for sowing (KGM),0,2506,1207,#N/A,12,OIL SEED OLEAGINOUS FRUIT
2563,1,1,TH,12099190,90,KGM,Other (KGM),307,2961527,1209,#N/A,12,OIL SEED OLEAGINOUS FRUIT
2563,1,1,TH,12099990,90,KGM,Other (KGM),0,4184,1209,#N/A,12,OIL SEED OLEAGINOUS FRUIT
2563,1,1,TH,12122190,90,KGM,Other (KGM),0,146,1212,#N/A,12,OIL SEED OLEAGINOUS FRUIT
2563,1,1,TH,13021990,90,KGM,Other (KGM),1,5553,1302,#N/A,13,"LAC; GUM, RESINS AND OTHER EXTRACTS."
2563,1,1,TH,15162015,0,KGM,"Of palm kernels, crude (KGM)",420,81900,1516,#N/A,15,ANIMAL OR VEGETABLE FAT & OIL
2563,1,1,TH,15162041,0,KGM,Of castor seeds (Opal wax) (KGM),1,381,1516,#N/A,15,ANIMAL OR VEGETABLE FAT & OIL
2563,1,1,TH,15162099,90,KGM,Other (KGM),1,363,1516,#N/A,15,ANIMAL OR VEGETABLE FAT & OIL
2563,1,1,TH,16030000,90,KGM,Other (KGM),75000,7030480,1603,#N/A,16,PREPARATION OF MEAT FISH
2563,1,1,TH,16041411,0,KGM,Tunas (KGM),1,1541,1604,#N/A,16,PREPARATION OF MEAT FISH
2563,1,1,TH,16041419,0,KGM,Other (KGM),91605,14597791,1604,#N/A,16,PREPARATION OF MEAT FISH
2563,1,1,TH,16042099,90,KGM,Other (KGM),1,675,1604,#N/A,16,PREPARATION OF MEAT FISH
2563,1,1,TH,16052100,1,KGM,"Giant black tiger prawn, not in airtight containers (KGM)",3501,2083850,1605,#N/A,16,PREPARATION OF MEAT FISH
2563,1,1,TH,16052930,0,KGM,Breaded shrimp (KGM),9120,3006112,1605,#N/A,16,PREPARATION OF MEAT FISH
2563,1,1,TH,16052990,3,KGM,"White shrimp(P.vannamei), in airtight containers (KGM)",960,319692,1605,#N/A,16,PREPARATION OF MEAT FISH
2563,1,1,TH,16055490,0,KGM,Other (KGM),1,715,1605,#N/A,16,PREPARATION OF MEAT FISH
2563,1,1,TH,17029019,0,KGM,Other (KGM),20090,473794,1702,#N/A,17,SUGAR AND CONFECTIONERY
2563,1,1,TH,18062090,0,KGM,Other (KGM),0,255,1806,#N/A,18,COCOA AND PREPARATION
2563,1,1,TH,18069090,0,KGM,Other (KGM),21,10837,1806,#N/A,18,COCOA AND PREPARATION
2563,1,1,TH,19012010,0,KGM,"Of flour, groats, meal, starch or malt extract, not containing cocoa (KGM)",6,2252,1901,#N/A,19,PREP OF CEREAL FLOUR STARCH
2563,1,1,TH,19019099,90,KGM,Others (KGM),15,5846,1901,#N/A,19,PREP OF CEREAL FLOUR STARCH
2563,1,1,TH,19021990,0,KGM,Other (KGM),18144,2144770,1902,#N/A,19,PREP OF CEREAL FLOUR STARCH
2563,1,1,TH,19023040,0,KGM,Other instant noodles (KGM),3,1083,1902,#N/A,19,PREP OF CEREAL FLOUR STARCH
2563,1,1,TH,20029090,0,KGM,Other (KGM),4039,164545,2002,#N/A,20,PREP OF VEG FRUIT PLANT
2563,1,1,TH,20059100,0,KGM,Bamboo shoots (KGM),5595,250375,2005,#N/A,20,PREP OF VEG FRUIT PLANT
2563,1,1,TH,20059910,4,KGM,Dried cabbage (Tangchai) (KGM),6000,363600,2005,#N/A,20,PREP OF VEG FRUIT PLANT
2563,1,1,TH,20081999,0,KGM,Other (KGM),636,162616,2008,#N/A,20,PREP OF VEG FRUIT PLANT
