,hscode,volume
0,10059010000,63
1,10059010000,40
2,10059010000,20
3,10063040001,525
4,10063040001,130
5,10063040001,1720
6,10063040001,6080
7,10063040001,1425
8,10063030003,100
9,10063040001,1325
10,10063099012,10400
11,10063099012,10400
12,10063040001,1000
13,10063040001,500
14,10063030003,400
15,10063040001,24000
16,10063040001,4500
17,10063040001,22280
18,10063040001,22000
19,10063040001,440
20,10063040001,900
21,10063040001,2520
22,10063099012,1500
23,10063040001,750
24,10063040001,100
25,10063040001,414
26,10062010001,100
27,10063099001,880
28,10063099001,1774
29,10063099001,440
30,10063040001,2600
31,10063040001,2600
32,10063040001,2600
33,10063040001,2600
34,10063040001,2600
35,10063040001,2600
36,10063040001,62469
37,10063040001,925
38,10063040001,842
39,10063040001,9590
40,10062010001,2495
41,10063040001,9590
42,10063099001,580
43,10063099001,880
44,10063099001,340
45,10063099001,17052
46,10062090001,1498
47,10063040001,2934
48,10063040001,482
49,10063040001,2934
50,10063040001,985
51,10063040001,4540
52,10063040001,953
53,10063040001,2179
54,10063030003,953
55,10063030003,1907
56,10062010001,735
57,10062090613,735
58,10064090005,3462
59,10064090005,1907
60,10062090619,735
61,10062090607,735
62,10063099001,12600
63,10063099001,11700
64,10063040001,140
65,10063040001,80
66,10063040001,70
67,10063040001,2
68,10063040001,6
69,10063040004,40
70,10063040004,2
71,10063040500,2
72,10062010500,2
73,10064090005,30
74,10064090005,2
75,10064090005,2
76,10063099010,20
77,10063099010,2
78,10063099010,2
79,10063099012,30
80,10063099012,2
81,10063091002,10
82,10063091002,2
83,10063091002,1
84,10063099003,50
85,10063099003,2
86,10063099003,2
87,10063030003,20
88,10063030003,2
89,10063030003,2
90,10062090611,2
91,10062090617,2
92,10063040001,44000
93,10063099012,2080
94,10063099012,2080
95,10063040001,79520
96,10063040001,4090
97,10063040500,856
98,10062010500,600
99,10063040001,1580
100,10063040001,2350
101,10063040001,2192
102,10063040001,3450
103,10063040001,4900
104,10063040001,1744
105,10063040001,925
106,10063040001,11750
107,10063099001,5000
108,10062090613,600
109,10064090501,3
110,10063040001,10
111,10063040001,4278
112,10063040001,1560
113,10063040001,7200
114,10063040001,1840
115,10063040001,1840
116,10063040001,920
117,10063040001,1840
118,10063040001,3240
119,10063099001,360
120,10062090600,1
121,10063040001,1400
122,10063040001,800
123,10063040001,700
124,10063040001,400
125,10063040001,600
126,10063040001,600
127,10063030003,450
128,10063030003,300
129,10063030003,300
130,10063040001,120
131,10063040001,500
132,10063040001,1400
133,10063040001,17110
134,10063099001,34359
135,10063040001,17110
136,10063099001,17670
137,10063099001,880
138,10064090005,500
139,10063040001,1750
140,10063040001,1750
141,10063030003,300
142,10062090618,60
143,10063099001,870
144,10063040001,1750
145,10063099001,53009
146,10063099012,960
147,10063040001,9700
148,10063040001,5799
149,10063040001,1000
150,10063040001,340
151,10063099001,340
152,10063030003,320
153,10063099005,3225
154,10063040001,20000
155,10063040001,4000
156,10063040001,40
157,10063040001,20
158,10063030003,1056
159,10063030003,343
160,10062090010,10300
161,10062090001,34219
162,10063099001,17670
163,10063099001,14149
164,10063099012,17208
165,10063040001,350
166,10063040001,1500
167,10063040001,448
168,10063030003,240
169,10063030003,150
170,10064090005,150
171,10063040001,1100
172,10063099001,28298
173,10063040001,20880
174,10063099010,11
175,10063099010,2
176,10063099010,1
177,10064090005,20
178,10064090005,4
179,10063099012,17
180,10063099012,2
181,10063040001,47
182,10063040001,4
183,10063040001,5
184,10063040001,10
185,10063040001,4
186,10063040001,3
187,10063091001,27
188,10063091001,8
189,10063091001,1
190,10063091003,12
191,10063091003,4
192,10063099013,2
193,10063099013,2
194,10063099018,4
195,10063099018,2
196,10063030003,1
197,10063030003,1
198,10063030003,6
199,10063030003,4
200,10063099014,2
201,10063099014,2
202,10063040001,1500
203,10063040001,2600
204,10063040001,2600
205,10063040001,2600
206,10063040001,2600
207,10063040001,2600
208,10063040001,2600
209,10063040001,2600
210,10063040001,2600
211,10063040001,2600
212,10063040001,1000
213,10063040001,2000
214,10063040001,600
215,10063040001,80
216,10062090001,200
217,10062090612,150
218,10063030003,250
219,10063099003,940
220,10063099003,940
221,10063099003,940
222,10063099003,80
223,10063099003,1245
224,10063099003,80
225,10063099003,150
226,10064090012,250
227,10064090012,30
228,10064090012,50
229,10063099003,940
230,10063099003,940
231,10063040001,2600
232,10063040001,2600
233,10063040001,2600
234,10063040001,2600
235,10063040001,2600
236,10063040001,2600
237,10063040001,2600
238,10063040001,2600
239,10063040001,2600
240,10063040001,2600
241,10063040001,2600
242,10063040001,2600
243,10063040001,2600
