undefined,declaration_type,year_in_yy,month,running_no,item_no,origin_country_code,destination_country_code,transportation,tax_id,company_branch,customs_coordinates,product_statistic_code,product_statistic_code_unit,privilege_code,duty_rate_by_percent,duty_rate_by_condition,is_a_net_transaction_brought_back,use_the_rights_to_promote_investment,use_the_rights_bonded_warehouse,exercising_the_right_to_claim_duty_under_section_19_bis,use_the_right_reimport_reexport,use_the_right_freezone,use_the_right_epz,multiple_boat_declaration_approval_lists_or_claim_duty_compensation,import_or_export_date,payment_place_code,payment_number,payment_date,release_location_code,release_date,pickup_location_code,pickup_date,making_year,making_month,weigth,volume,value_in_baht,value_in_other_currency,currency_code,duty,vat,excise_tax,fee,ministry_of_commerce_fee,interior_tax,other_tax,excise_coordinate,excise_tax_by_percent,excise_tax_by_condition,import_or_export_customs_set,hscode
2305,1,63,01,00007,0005,KH,KH,3,       2301000000,0000,000010059010,000,KGM,000,000000000000000000,000000000000000000,N,N,N,N,N,N,N,N,20200107,2301,000000,20200107,2301,20200107,2305,20200107,2563,01,00000000001325,00000000000063,0000000000016500,0000000000016500,THB,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,000000000000,000000000000000000,000000000000000000,      9PART3,000010059010000
2305,1,63,01,00019,0008,KH,KH,3,       2301000000,0000,000010059010,000,KGM,000,000000000000000000,000000000000000000,N,N,N,N,N,N,N,N,20200119,2301,000000,20200119,2301,20200119,2305,20200119,2563,01,00000000000320,00000000000040,0000000000020000,0000000000020000,THB,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,000000000000,000000000000000000,000000000000000000,      9PART3,000010059010000
2305,1,63,01,00023,0009,KH,KH,3,       2301000000,0000,000010059010,000,KGM,000,000000000000000000,000000000000000000,N,N,N,N,N,N,N,N,20200123,2301,000000,20200123,2301,20200123,2305,20200123,2563,01,00000000000500,00000000000020,0000000000010000,0000000000010000,THB,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,000000000000,000000000000000000,000000000000000000,      9PART3,000010059010000
A001,1,62,11,11118,0001,PL,MO,1,    0345547000393,0000,000010063040,001,KGM,003,000000000000000000,000000000000000000,N,N,N,N,N,N,N,N,20191121,0152,000000,20191101,0251,20191107,0250,20191108,2563,01,00000000016800,00000000000525,0000000000645423,0000000000021504,USD,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,000000000000,000000000000000000,000000000000000000,      1PART3,000010063040001
A001,1,62,11,11118,0002,PL,MO,1,    0345547000393,0000,000010063040,001,KGM,003,000000000000000000,000000000000000000,N,N,N,N,N,N,N,N,20191121,0152,000000,20191101,0251,20191107,0250,20191108,2563,01,00000000003900,00000000000130,0000000000151001,0000000000005031,USD,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,000000000000,000000000000000000,000000000000000000,      1PART3,000010063040001
A001,1,63,01,00001,0001,HK,HK,1,    0325507000015,0000,000010063040,001,KGM,003,000000000000000000,000000000000000000,N,N,N,N,N,N,N,N,20200121,0152,000000,20200101,0251,20200102,0250,20200106,2563,01,00000000043000,00000000001720,0000000001583257,0000000000052890,USD,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,000000000000,000000000000000000,000000000000000000,      1PART3,000010063040001
A001,1,63,01,00002,0001,CA,CA,1,    0325507000015,0000,000010063040,001,KGM,003,000000000000000000,000000000000000000,N,N,N,N,N,N,N,N,20200121,0152,000000,20200101,0251,20200102,0250,20200105,2563,01,00000000042560,00000000006080,0000000001764531,0000000000058946,USD,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,000000000000,000000000000000000,000000000000000000,      1PART3,000010063040001
A001,1,63,01,00003,0001,CA,CA,1,    0325507000015,0000,000010063040,001,KGM,003,000000000000000000,000000000000000000,N,N,N,N,N,N,N,N,20200121,0152,000000,20200101,0251,20200103,0250,20200105,2563,01,00000000021375,00000000001425,0000000000883005,0000000000029498,USD,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,000000000000,000000000000000000,000000000000000000,      1PART3,000010063040001
A001,1,63,01,00004,0001,CA,CA,1,    0325507000015,0000,000010063030,003,KGM,003,000000000000000000,000000000000000000,N,N,N,N,N,N,N,N,20200121,0152,000000,20200101,0251,20200103,0250,20200105,2563,01,00000000001456,00000000000100,0000000000069736,0000000000002330,USD,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,000000000000,000000000000000000,000000000000000000,      1PART3,000010063030003
A001,1,63,01,00005,0001,CA,CA,1,    0325507000015,0000,000010063040,001,KGM,003,000000000000000000,000000000000000000,N,N,N,N,N,N,N,N,20200121,0152,000000,20200101,0251,20200103,0250,20200105,2563,01,00000000019875,00000000001325,0000000000821039,0000000000027428,USD,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,000000000000,000000000000000000,000000000000000000,      1PART3,000010063040001
